state,wave1_weekid,wave2_weekid,wave1_monthid,wave2_monthid
Andhra Pradesh,37,110,3,11
Arunachal Pradesh,39,113,3,12
Assam,14,99,0,11
Bihar,30,106,2,11
Chandigarh,39,107,3,11
Chhattisgarh,39,104,3,11
Dadra and Nagar Haveli and Daman and Diu,27,100,2,11
Delhi,39,103,1,11
Gujarat,39,104,3,11
Haryana,39,107,3,11
Himachal Pradesh,39,108,3,11
Jammu and Kashmir,39,107,3,11
Jharkhand,37,105,3,11
Karnataka,37,107,3,11
Kerala,39,108,3,11
Ladakh,14,102,3,11
Lakshadweep,34,109,3,13
Madhya Pradesh,39,104,3,11
Maharashtra,39,103,3,11
Manipur,14,99,0,11
Meghalaya,39,111,3,12
Mizoram,39,120,3,14
Nagaland,21,103,1,11
Odisha,39,111,3,12
Puducherry,35,109,3,11
Punjab,39,108,3,11
Rajasthan,39,107,3,11
Tamil Nadu,26,111,3,12
Tripura,38,111,3,12
Uttar Pradesh,39,104,3,11
Uttarakhand,39,107,3,11
West Bengal,33,109,3,11
