State_Code,Covaxin,Covishield,Ratio
DL,2715588,8750718,3.2224026619649226
TG,3266527,12857010,3.9359876713096202
JH,1792791,9135601,5.095742336948367
AP,4070226,20879561,5.129828417390091
TN,4072435,22532135,5.5328409170434885
HR,1960592,11673302,5.953967985179986
PY,138153,843183,6.103255086751645
PB,1547445,9450495,6.107160512974613
KA,4582255,29854578,6.515258971838102
MH,6476709,42611472,6.579185817982559
OR,2563646,16917276,6.598912642385103
WB,4467467,29689814,6.645782498225505
RJ,4692948,32811380,6.991635108677957
AS,1732408,12138691,7.006831531602256
UP,6782893,50624720,7.4635881769032775
CT,1392850,10760651,7.725635208385684
MP,4309324,33434967,7.758749864247849
BR,3395490,26628989,7.842458378613985
GJ,4254163,35573589,8.362065346344275
KL,2383883,21521356,9.027857491328223
UT,525657,6692654,12.731979218387655
JK,261784,6858976,26.200898450631055
TR,66328,3194209,48.15777650464359
GA,27658,1415066,51.16299081640032
CH,4528,973402,214.97393992932862
HP,3390,6458208,1905.0761061946903
NL,413,804175,1947.1549636803875
SK,229,658871,2877.165938864629
AR,178,900714,5060.191011235955
LA,49,262360,5354.285714285715
ML,195,1226159,6287.994871794872
LD,9,69553,7728.111111111111
DN,47,688754,14654.340425531915
MN,96,1440236,15002.458333333334
MZ,23,877800,38165.217391304344
AN,1,329996,329996.0
