districtid,overallid,cases
Anantapur,1,156771
Chittoor,1,234871
East Godavari,1,282389
Foreign Evacuees,1,434
Guntur,1,170493
Krishna,1,111599
Kurnool,1,123572
Prakasam,1,131787
S.P.S. Nellore,1,137357
Srikakulam,1,121390
Visakhapatnam,1,153698
Vizianagaram,1,81776
West Godavari,1,171987
Y.S.R. Kadapa,1,111606
Anjaw,1,994
Capital Complex,1,0
Changlang,1,3655
East Kameng,1,1071
East Siang,1,2963
Kamle,1,478
Kra Daadi,1,260
Kurung Kumey,1,507
Lepa Rada,1,792
Lohit,1,2688
Longding,1,731
Lower Dibang Valley,1,2168
Lower Siang,1,709
Lower Subansiri,1,2647
Namsai,1,1969
Pakke Kessang,1,396
Papum Pare,1,17303
Shi Yomi,1,224
Siang,1,393
Tawang,1,2299
Tirap,1,1008
Upper Dibang Valley,1,290
Upper Siang,1,896
Upper Subansiri,1,1914
West Kameng,1,3207
West Siang,1,1738
Dibrugarh,1,0
Udalguri,1,0
Araria,1,14963
Arwal,1,7379
Aurangabad,1,20010
Banka,1,7379
Begusarai,1,27183
Bhagalpur,1,25827
Bhojpur,1,10174
Buxar,1,9248
Darbhanga,1,10908
East Champaran,1,19000
Gaya,1,33940
Gopalganj,1,16671
Jamui,1,9413
Jehanabad,1,10774
Kaimur,1,4983
Katihar,1,18129
Khagaria,1,10057
Kishanganj,1,10107
Lakhisarai,1,7771
Madhepura,1,12523
Madhubani,1,18339
Munger,1,15102
Muzaffarpur,1,31382
Nalanda,1,23424
Nawada,1,10345
Patna,1,146846
Purnia,1,24413
Rohtas,1,13962
Saharsa,1,17592
Samastipur,1,19988
Saran,1,23267
Sheikhpura,1,7690
Sheohar,1,4397
Sitamarhi,1,9174
Siwan,1,15195
Supaul,1,17205
Vaishali,1,19809
West Champaran,1,20886
Chandigarh,1,62028
Balod,1,27258
Baloda Bazar,1,43007
Balrampur,1,20280
Bametara,1,19945
Bastar,1,20953
Bijapur,1,8269
Bilaspur,1,65471
Dakshin Bastar Dantewada,1,10754
Dhamtari,1,27197
Durg,1,96652
Gariaband,1,19673
Gaurela Pendra Marwahi,1,12006
Janjgir Champa,1,57461
Jashpur,1,26950
Kabeerdham,1,22770
Kondagaon,1,13072
Korba,1,54592
Koriya,1,26923
Mahasamund,1,31324
Mungeli,1,23893
Narayanpur,1,4006
Raigarh,1,62486
Raipur,1,157803
Rajnandgaon,1,56012
Sukma,1,7975
Surajpur,1,29016
Surguja,1,33641
Uttar Bastar Kanker,1,23542
Dadra and Nagar Haveli,1,5905
Daman,1,3535
Diu,1,1218
Delhi,1,1437038
Ahmedabad,1,238044
Amreli,1,10806
Anand,1,9624
Aravalli,1,5184
Banaskantha,1,13631
Bharuch,1,11425
Bhavnagar,1,21413
Botad,1,2218
Chhota Udaipur,1,3395
Dahod,1,9944
Dang,1,864
Devbhumi Dwarka,1,4173
Gandhinagar,1,20741
Gir Somnath,1,8557
Jamnagar,1,34951
Junagadh,1,20470
Kheda,1,10422
Kutch,1,12587
Mahisagar,1,8192
Mehsana,1,24414
Morbi,1,6502
Narmada,1,5952
Navsari,1,7156
Panchmahal,1,11770
Patan,1,11624
Porbandar,1,3477
Rajkot,1,57925
Sabarkantha,1,9314
Surat,1,143502
Surendranagar,1,8121
Tapi,1,4438
Vadodara,1,77924
Valsad,1,6244
Ambala,1,30105
Bhiwani,1,22395
Charkhi Dadri,1,5069
Faridabad,1,99808
Fatehabad,1,17861
Foreign Evacuees,1,21
Gurugram,1,180992
Hisar,1,53979
Italians,1,14
Jhajjar,1,18829
Jind,1,21202
Kaithal,1,11218
Karnal,1,40000
Kurukshetra,1,22116
Mahendragarh,1,21687
Nuh,1,5011
Palwal,1,10984
Panchkula,1,30658
Panipat,1,31135
Rewari,1,20304
Rohtak,1,25879
Sirsa,1,29257
Sonipat,1,47126
Yamunanagar,1,24571
Bilaspur,1,13165
Chamba,1,12993
Hamirpur,1,14883
Kangra,1,46992
Kinnaur,1,3348
Kullu,1,9321
Lahaul and Spiti,1,2829
Mandi,1,28890
Shimla,1,26157
Sirmaur,1,15404
Solan,1,22476
Una,1,13503
Anantnag,1,16374
Bandipora,1,9552
Baramulla,1,23756
Budgam,1,23013
Doda,1,7405
Ganderbal,1,10013
Jammu,1,52907
Kathua,1,9273
Kishtwar,1,4707
Kulgam,1,11326
Kupwara,1,14151
Pulwama,1,15255
Punch,1,6289
Rajouri,1,11022
Ramban,1,5980
Reasi,1,6424
Samba,1,7130
Shopiyan,1,5589
Srinagar,1,71794
Udhampur,1,11365
Bokaro,1,19415
Chatra,1,6027
Deoghar,1,10806
Dhanbad,1,16519
Dumka,1,4632
East Singhbhum,1,51789
Garhwa,1,6885
Giridih,1,8959
Godda,1,5836
Gumla,1,9894
Hazaribagh,1,19582
Jamtara,1,5555
Khunti,1,7787
Koderma,1,12871
Latehar,1,7864
Lohardaga,1,6691
Pakur,1,2550
Palamu,1,12289
Ramgarh,1,13901
Ranchi,1,85489
Sahibganj,1,4818
Saraikela-Kharsawan,1,7204
Simdega,1,7191
West Singhbhum,1,13004
Bagalkote,1,35136
Ballari,1,97511
Belagavi,1,78762
Bengaluru Rural,1,61271
Bengaluru Urban,1,1232597
Bidar,1,24284
Chamarajanagara,1,32638
Chikkaballapura,1,43797
Chikkamagaluru,1,49244
Chitradurga,1,36163
Dakshina Kannada,1,105533
Davanagere,1,50543
Dharwad,1,60620
Gadag,1,26011
Hassan,1,108159
Haveri,1,21886
Kalaburagi,1,61697
Kodagu,1,34217
Kolar,1,45970
Koppal,1,35122
Mandya,1,72612
Mysuru,1,174533
Raichur,1,39905
Ramanagara,1,24056
Shivamogga,1,67597
Tumakuru,1,118577
Udupi,1,71645
Uttara Kannada,1,54230
Vijayapura,1,36179
Yadgir,1,27502
Alappuzha,1,240519
Ernakulam,1,437452
Idukki,1,98133
Kannur,1,203055
Kasaragod,1,116396
Kollam,1,288215
Kottayam,1,235115
Kozhikode,1,394973
Malappuram,1,450082
Palakkad,1,274982
Pathanamthitta,1,138706
Thiruvananthapuram,1,346041
Thrissur,1,362333
Wayanad,1,85539
Kargil,1,3575
Leh,1,16870
Lakshadweep,1,10285
Agar Malwa,1,3303
Alirajpur,1,3501
Anuppur,1,9229
Ashoknagar,1,3670
Balaghat,1,9093
Barwani,1,8363
Betul,1,12901
Bhind,1,2994
Bhopal,1,123334
Burhanpur,1,2568
Chhatarpur,1,7607
Chhindwara,1,6732
Damoh,1,8120
Datia,1,6958
Dewas,1,7723
Dhar,1,12533
Dindori,1,4623
Guna,1,5132
Gwalior,1,53096
Harda,1,5055
Hoshangabad,1,10680
Indore,1,153017
Jabalpur,1,50645
Jhabua,1,7688
Katni,1,9365
Khandwa,1,4040
Khargone,1,13965
Mandla,1,5188
Mandsaur,1,8637
Morena,1,8236
Narsinghpur,1,11200
Neemuch,1,7924
Niwari,1,3711
Other Region,1,2
Panna,1,7319
Raisen,1,9233
Rajgarh,1,8700
Ratlam,1,17855
Rewa,1,16431
Sagar,1,16593
Satna,1,11965
Sehore,1,10136
Seoni,1,6774
Shahdol,1,10080
Shajapur,1,6349
Sheopur,1,3998
Shivpuri,1,12393
Sidhi,1,9219
Singrauli,1,8793
Tikamgarh,1,6863
Ujjain,1,18896
Umaria,1,6293
Vidisha,1,11918
Ahmednagar,1,297459
Akola,1,58649
Amravati,1,96024
Aurangabad,1,154611
Beed,1,99886
Bhandara,1,60040
Buldhana,1,84871
Chandrapur,1,88711
Dhule,1,46277
Gadchiroli,1,30300
Gondia,1,40535
Hingoli,1,18424
Jalgaon,1,139822
Jalna,1,60344
Kolhapur,1,200833
Latur,1,91248
Mumbai,1,739069
Nagpur,1,493087
Nanded,1,90666
Nandurbar,1,39969
Nashik,1,403968
Osmanabad,1,65261
Palghar,1,133958
Parbhani,1,52283
Pune,1,1103268
Raigad,1,186255
Ratnagiri,1,73923
Sangli,1,194267
Satara,1,228831
Sindhudurg,1,49667
Solapur,1,196264
Thane,1,592750
Wardha,1,58345
Washim,1,41629
Yavatmal,1,76223
Churachandpur,1,0
East Garo Hills,1,1771
East Jaintia Hills,1,2244
East Khasi Hills,1,34717
North Garo Hills,1,1631
Ribhoi,1,8472
South Garo Hills,1,1169
South West Garo Hills,1,1801
South West Khasi Hills,1,2035
West Garo Hills,1,8599
West Jaintia Hills,1,5730
West Khasi Hills,1,3219
Aizawl,1,32732
Champhai,1,773
Hnahthial,1,130
Khawzawl,1,109
Kolasib,1,4040
Lawngtlai,1,2953
Lunglei,1,3617
Mamit,1,1559
Saiha,1,975
Saitual,1,229
Serchhip,1,878
Dimapur,1,13417
Kiphire,1,231
Kohima,1,8808
Longleng,1,270
Mokokchung,1,2003
Mon,1,1099
Others,1,46
Peren,1,883
Phek,1,476
Tuensang,1,993
Wokha,1,334
Zunheboto,1,583
Angul,1,43154
Balangir,1,23237
Balasore,1,38789
Bargarh,1,30800
Bhadrak,1,25784
Boudh,1,12535
Cuttack,1,88737
Deogarh,1,6225
Dhenkanal,1,19285
Gajapati,1,9540
Ganjam,1,33521
Jagatsinghpur,1,26235
Jajpur,1,41855
Jharsuguda,1,23644
Kalahandi,1,24186
Kandhamal,1,11412
Kendrapara,1,23834
Kendujhar,1,20587
Khordha,1,155204
Koraput,1,18891
Malkangiri,1,11545
Mayurbhanj,1,39110
Nabarangapur,1,23476
Nayagarh,1,22928
Nuapada,1,22815
Others,1,2
Puri,1,44097
Rayagada,1,19908
Sambalpur,1,30667
State Pool,1,27452
Subarnapur,1,13103
Sundargarh,1,60951
Karaikal,1,15191
Mahe,1,5047
Puducherry,1,95334
Yanam,1,6631
Amritsar,1,47144
Barnala,1,5917
Bathinda,1,41571
Faridkot,1,13843
Fatehgarh Sahib,1,8808
Fazilka,1,20191
Ferozepur,1,14248
Gurdaspur,1,22255
Hoshiarpur,1,30687
Jalandhar,1,63173
Kapurthala,1,17784
Ludhiana,1,87422
Mansa,1,15576
Moga,1,8632
Pathankot,1,18622
Patiala,1,48761
Rupnagar,1,12881
S.A.S. Nagar,1,68528
Sangrur,1,15694
Shahid Bhagat Singh Nagar,1,11435
Sri Muktsar Sahib,1,18733
Tarn Taran,1,7991
Ajmer,1,37720
Alwar,1,59659
BSF Camp,1,85
Banswara,1,10005
Baran,1,11993
Barmer,1,15550
Bharatpur,1,19591
Bhilwara,1,29773
Bikaner,1,40311
Bundi,1,7967
Chittorgarh,1,19809
Churu,1,16719
Dausa,1,13351
Dholpur,1,11006
Dungarpur,1,18407
Evacuees,1,61
Ganganagar,1,19338
Hanumangarh,1,16051
Italians,1,2
Jaipur,1,187613
Jaisalmer,1,13639
Jalore,1,10065
Jhalawar,1,13600
Jhunjhunu,1,14802
Jodhpur,1,112374
Karauli,1,7156
Kota,1,57051
Nagaur,1,17731
Pali,1,27315
Pratapgarh,1,7143
Rajsamand,1,17041
Sawai Madhopur,1,10605
Sikar,1,30607
Sirohi,1,13729
Tonk,1,9495
Udaipur,1,56372
Airport Quarantine,1,2099
Ariyalur,1,16087
Chengalpattu,1,163608
Chennai,1,540971
Coimbatore,1,232575
Cuddalore,1,61434
Dharmapuri,1,26486
Dindigul,1,32350
Erode,1,96087
Kallakurichi,1,29632
Kancheepuram,1,72248
Kanyakumari,1,60534
Karur,1,22885
Krishnagiri,1,41713
Madurai,1,73786
Mayiladuthurai,1,21399
Nagapattinam,1,19161
Namakkal,1,47938
Nilgiris,1,31189
Perambalur,1,11597
Pudukkottai,1,28618
Railway Quarantine,1,428
Ramanathapuram,1,20124
Ranipet,1,42229
Salem,1,94688
Sivaganga,1,19077
Tenkasi,1,26944
Thanjavur,1,69299
Theni,1,43070
Thiruvallur,1,114684
Thiruvarur,1,38449
Thoothukkudi,1,55306
Tiruchirappalli,1,73428
Tirunelveli,1,48194
Tirupathur,1,28442
Tiruppur,1,89029
Tiruvannamalai,1,52724
Vellore,1,48447
Viluppuram,1,44280
Virudhunagar,1,45646
Dhalai,1,6887
Gomati,1,7851
Khowai,1,4481
North Tripura,1,6938
Sipahijala,1,6138
South Tripura,1,9808
Unokoti,1,8277
West Tripura,1,30734
Agra,1,25736
Aligarh,1,21276
Ambedkar Nagar,1,5027
Amethi,1,9958
Amroha,1,16610
Auraiya,1,10080
Ayodhya,1,16912
Azamgarh,1,17891
Baghpat,1,9129
Bahraich,1,11546
Ballia,1,21606
Balrampur,1,7487
Banda,1,10986
Barabanki,1,19833
Bareilly,1,43973
Basti,1,11714
Bhadohi,1,7717
Bijnor,1,14788
Budaun,1,14924
Bulandshahr,1,20202
Chandauli,1,16198
Chitrakoot,1,7106
Deoria,1,20212
Etah,1,9964
Etawah,1,13928
Farrukhabad,1,10340
Fatehpur,1,6803
Firozabad,1,8715
Gautam Buddha Nagar,1,63237
Ghaziabad,1,55625
Ghazipur,1,21637
Gonda,1,12282
Gorakhpur,1,59378
Hamirpur,1,5230
Hapur,1,12629
Hardoi,1,13754
Hathras,1,2917
Jalaun,1,11662
Jaunpur,1,22571
Jhansi,1,36539
Kannauj,1,9220
Kanpur Dehat,1,6190
Kanpur Nagar,1,82894
Kasganj,1,4248
Kaushambi,1,4416
Kushinagar,1,15611
Lakhimpur Kheri,1,24405
Lalitpur,1,12734
Lucknow,1,238655
Maharajganj,1,12407
Mahoba,1,4268
Mainpuri,1,10018
Mathura,1,20274
Mau,1,8324
Meerut,1,69424
Mirzapur,1,11082
Moradabad,1,39095
Muzaffarnagar,1,31002
Pilibhit,1,11028
Pratapgarh,1,16025
Prayagraj,1,78615
Rae Bareli,1,17075
Rampur,1,11822
Saharanpur,1,32721
Sambhal,1,9436
Sant Kabir Nagar,1,8157
Shahjahanpur,1,20353
Shamli,1,12974
Shrawasti,1,4385
Siddharthnagar,1,9365
Sitapur,1,12393
Sonbhadra,1,16801
Sultanpur,1,14909
Unnao,1,14998
Varanasi,1,85472
Almora,1,12140
Bageshwar,1,5720
Chamoli,1,12151
Champawat,1,7549
Dehradun,1,111965
Haridwar,1,51403
Nainital,1,39080
Pauri Garhwal,1,17545
Pithoragarh,1,10169
Rudraprayag,1,8744
Tehri Garhwal,1,15818
Udham Singh Nagar,1,37816
Uttarkashi,1,12472
Alipurduar,1,15068
Bankura,1,34815
Birbhum,1,40444
Cooch Behar,1,28042
Dakshin Dinajpur,1,17003
Darjeeling,1,54276
Hooghly,1,82276
Howrah,1,94985
Jalpaiguri,1,40381
Jhargram,1,11467
Kalimpong,1,6563
Kolkata,1,311430
Malda,1,32729
Murshidabad,1,33651
Nadia,1,69784
North 24 Parganas,1,320427
Paschim Bardhaman,1,56437
Paschim Medinipur,1,51227
Purba Bardhaman,1,40280
Purba Medinipur,1,61010
Purulia,1,19214
South 24 Parganas,1,96779
Uttar Dinajpur,1,19536
